dataset,algo,embed,fold,acc
FNFC,CS-SVM (Linear),GloVe+MPNet,1,0.8951841359773371
FNFC,CS-DT,GloVe+MPNet,1,0.7747875354107648
FNFC,CS-LR,GloVe+MPNet,1,0.8824362606232294
FNFC,CS-LR,BERT+SBERT,1,0.8583569405099151
FNFC,CS-DT,BERT+SBERT,1,0.7818696883852692
FNFC,CS-SVM (Linear),BERT+SBERT,1,0.8725212464589235
FNFC,CS-SVM (RBF),GloVe+BERT,1,0.8994334277620396
FNFC,CS-RF,GloVe+SBERT,1,0.8583569405099151
FNFC,CS-LR,BERT+MPNet,1,0.8711048158640227
FNFC,CS-SVM (RBF),GloVe+SBERT,1,0.8881019830028328
FNFC,CS-DT,BERT+MPNet,1,0.7875354107648725
FNFC,CS-RF,GloVe+MPNet,1,0.8597733711048159
FNFC,CS-SVM (RBF),Word2Vec+MPNet,1,0.8909348441926346
FNFC,CS-RF,BERT+SBERT,1,0.8604815864022662
FNFC,CS-SVM (Linear),BERT+MPNet,1,0.8774787535410765
FNFC,CS-LR,SBERT+MPNet,1,0.8859773371104815
FNFC,CS-SVM (Linear),SBERT+MPNet,1,0.8937677053824362
FNFC,CS-SVM (RBF),BERT+SBERT,1,0.896600566572238
FNFC,CS-DT,SBERT+MPNet,1,0.78328611898017
FNFC,CS-RF,BERT+MPNet,1,0.8604815864022662
FNFC,CS-SVM (RBF),GloVe+MPNet,1,0.8937677053824362
FNFC,CS-RF,SBERT+MPNet,1,0.8604815864022662
FNFC,CS-SVM (RBF),BERT+MPNet,1,0.8973087818696884
FNFC,CS-SVM (RBF),SBERT+MPNet,1,0.9015580736543909
FNFC,CS-SVM (RBF),TF-IDF+BERT,1,0.8951841359773371
FNFC,CS-SVM (RBF),TF-IDF+GloVe,1,0.896600566572238
FNFC,CS-SVM (RBF),TF-IDF+SBERT,1,0.9058073654390935
FNFC,CS-SVM (RBF),TF-IDF+MPNet,1,0.9029745042492918
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec,1,0.8817280453257791
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec,2,0.9058073654390935
FNFC,CS-SVM (Linear),TF-IDF+GloVe,2,0.9015580736543909
FNFC,CS-SVM (Linear),TF-IDF+SBERT,2,0.9050991501416431
FNFC,CS-SVM (Linear),TF-IDF+BERT,2,0.886685552407932
FNFC,CS-RF,TF-IDF+GloVe,2,0.8618980169971672
FNFC,CS-RF,TF-IDF+BERT,2,0.8618980169971672
FNFC,CS-RF,TF-IDF+SBERT,2,0.8611898016997167
FNFC,CS-DT,TF-IDF+BERT,2,0.830028328611898
FNFC,CS-DT,TF-IDF+SBERT,2,0.8441926345609065
FNFC,CS-SVM (Linear),TF-IDF+MPNet,2,0.9029745042492918
FNFC,CS-RF,TF-IDF+Word2Vec,2,0.8626062322946175
FNFC,CS-LR,TF-IDF+SBERT,2,0.9036827195467422
FNFC,CS-DT,TF-IDF+Word2Vec,2,0.8420679886685553
FNFC,CS-DT,Word2Vec+GloVe,2,0.7747875354107648
FNFC,CS-DT,TF-IDF+GloVe,2,0.839943342776204
FNFC,CS-SVM (Linear),Word2Vec+GloVe,2,0.8696883852691218
FNFC,CS-LR,TF-IDF+BERT,2,0.8788951841359773
FNFC,CS-LR,Word2Vec+GloVe,2,0.853399433427762
FNFC,CS-RF,TF-IDF+MPNet,2,0.8604815864022662
FNFC,CS-SVM (Linear),Word2Vec+BERT,2,0.8604815864022662
FNFC,CS-DT,TF-IDF+MPNet,2,0.806657223796034
FNFC,CS-LR,TF-IDF+MPNet,2,0.9093484419263456
FNFC,CS-RF,Word2Vec+GloVe,2,0.8611898016997167
FNFC,CS-DT,Word2Vec+BERT,2,0.7712464589235127
FNFC,CS-LR,Word2Vec+BERT,2,0.8569405099150141
FNFC,CS-SVM (Linear),Word2Vec+SBERT,2,0.8788951841359773
FNFC,CS-DT,Word2Vec+SBERT,2,0.7903682719546742
FNFC,CS-LR,TF-IDF+GloVe,2,0.8916430594900849
FNFC,CS-LR,Word2Vec+SBERT,2,0.8796033994334278
FNFC,CS-RF,Word2Vec+BERT,2,0.8618980169971672
FNFC,CS-LR,TF-IDF+Word2Vec,2,0.8951841359773371
FNFC,CS-SVM (RBF),Word2Vec+GloVe,2,0.8718130311614731
FNFC,CS-DT,Word2Vec+MPNet,2,0.78328611898017
FNFC,CS-RF,Word2Vec+SBERT,2,0.8604815864022662
FNFC,CS-LR,Word2Vec+MPNet,2,0.8703966005665722
FNFC,CS-SVM (Linear),Word2Vec+MPNet,2,0.8937677053824362
FNFC,CS-SVM (RBF),Word2Vec+BERT,2,0.8994334277620396
FNFC,CS-SVM (Linear),GloVe+BERT,2,0.8739376770538244
FNFC,CS-SVM (RBF),Word2Vec+SBERT,2,0.8916430594900849
FNFC,CS-LR,GloVe+SBERT,2,0.8873937677053825
FNFC,CS-DT,GloVe+BERT,2,0.7875354107648725
FNFC,CS-SVM (Linear),GloVe+SBERT,2,0.8873937677053825
FNFC,CS-DT,GloVe+SBERT,2,0.7847025495750708
FNFC,CS-LR,GloVe+BERT,2,0.8746458923512748
FNFC,CS-SVM (Linear),GloVe+MPNet,2,0.8902266288951841
FNFC,CS-LR,GloVe+MPNet,2,0.8873937677053825
FNFC,CS-RF,GloVe+BERT,2,0.8618980169971672
FNFC,CS-RF,Word2Vec+MPNet,2,0.8604815864022662
FNFC,CS-DT,GloVe+MPNet,2,0.7974504249291785
FNFC,CS-SVM (Linear),BERT+SBERT,2,0.8682719546742209
FNFC,CS-LR,BERT+SBERT,2,0.863314447592068
FNFC,CS-RF,GloVe+SBERT,2,0.8604815864022662
FNFC,CS-SVM (RBF),GloVe+BERT,2,0.9036827195467422
FNFC,CS-SVM (RBF),GloVe+SBERT,2,0.9036827195467422
FNFC,CS-RF,GloVe+MPNet,2,0.8618980169971672
FNFC,CS-DT,BERT+SBERT,2,0.7783286118980169
FNFC,CS-LR,BERT+MPNet,2,0.8703966005665722
FNFC,CS-SVM (RBF),Word2Vec+MPNet,2,0.8873937677053825
FNFC,CS-SVM (Linear),BERT+MPNet,2,0.8739376770538244
FNFC,CS-DT,BERT+MPNet,2,0.7804532577903682
FNFC,CS-LR,SBERT+MPNet,2,0.8902266288951841
FNFC,CS-SVM (Linear),SBERT+MPNet,2,0.8944759206798867
FNFC,CS-RF,BERT+SBERT,2,0.8626062322946175
FNFC,CS-SVM (RBF),GloVe+MPNet,2,0.9036827195467422
FNFC,CS-DT,SBERT+MPNet,2,0.8087818696883853
FNFC,CS-RF,BERT+MPNet,2,0.8618980169971672
FNFC,CS-SVM (RBF),BERT+SBERT,2,0.9036827195467422
FNFC,CS-RF,SBERT+MPNet,2,0.8611898016997167
FNFC,CS-SVM (RBF),BERT+MPNet,2,0.9036827195467422
FNFC,CS-SVM (RBF),SBERT+MPNet,2,0.9121813031161473
FNFC,CS-SVM (RBF),TF-IDF+BERT,2,0.9036827195467422
FNFC,CS-SVM (RBF),TF-IDF+GloVe,2,0.9001416430594901
FNFC,CS-SVM (RBF),TF-IDF+SBERT,2,0.9135977337110481
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec,2,0.8774787535410765
FNFC,CS-SVM (RBF),TF-IDF+MPNet,2,0.9114730878186968
FNFC,CS-SVM (Linear),TF-IDF+SBERT,3,0.9192634560906515
FNFC,CS-SVM (Linear),TF-IDF+GloVe,3,0.9050991501416431
FNFC,CS-SVM (Linear),TF-IDF+BERT,3,0.9107648725212465
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec,3,0.9135977337110481
FNFC,CS-RF,TF-IDF+GloVe,3,0.8647308781869688
FNFC,CS-RF,TF-IDF+BERT,3,0.8640226628895185
FNFC,CS-SVM (Linear),TF-IDF+MPNet,3,0.9157223796033994
FNFC,CS-DT,TF-IDF+BERT,3,0.8229461756373938
FNFC,CS-RF,TF-IDF+Word2Vec,3,0.8640226628895185
FNFC,CS-DT,TF-IDF+GloVe,3,0.830028328611898
FNFC,CS-RF,TF-IDF+SBERT,3,0.8647308781869688
FNFC,CS-LR,TF-IDF+SBERT,3,0.9093484419263456
FNFC,CS-DT,TF-IDF+SBERT,3,0.8413597733711048
FNFC,CS-DT,Word2Vec+GloVe,3,0.7747875354107648
FNFC,CS-DT,TF-IDF+Word2Vec,3,0.8519830028328612
FNFC,CS-SVM (Linear),Word2Vec+GloVe,3,0.8746458923512748
FNFC,CS-LR,TF-IDF+BERT,3,0.8852691218130312
FNFC,CS-RF,TF-IDF+MPNet,3,0.8647308781869688
FNFC,CS-DT,TF-IDF+MPNet,3,0.8449008498583569
FNFC,CS-LR,TF-IDF+MPNet,3,0.9072237960339944
FNFC,CS-DT,Word2Vec+BERT,3,0.7861189801699717
FNFC,CS-LR,Word2Vec+BERT,3,0.8597733711048159
FNFC,CS-SVM (Linear),Word2Vec+BERT,3,0.8640226628895185
FNFC,CS-LR,Word2Vec+GloVe,3,0.8555240793201133
FNFC,CS-LR,TF-IDF+GloVe,3,0.8923512747875354
FNFC,CS-RF,Word2Vec+GloVe,3,0.8647308781869688
FNFC,CS-SVM (Linear),Word2Vec+SBERT,3,0.8909348441926346
FNFC,CS-LR,Word2Vec+SBERT,3,0.8796033994334278
FNFC,CS-DT,Word2Vec+SBERT,3,0.7861189801699717
FNFC,CS-LR,TF-IDF+Word2Vec,3,0.9036827195467422
FNFC,CS-SVM (RBF),Word2Vec+GloVe,3,0.873229461756374
FNFC,CS-DT,Word2Vec+MPNet,3,0.806657223796034
FNFC,CS-RF,Word2Vec+BERT,3,0.8647308781869688
FNFC,CS-SVM (Linear),Word2Vec+MPNet,3,0.896600566572238
FNFC,CS-LR,Word2Vec+MPNet,3,0.8817280453257791
FNFC,CS-SVM (RBF),Word2Vec+BERT,3,0.8937677053824362
FNFC,CS-SVM (Linear),GloVe+BERT,3,0.8852691218130312
FNFC,CS-DT,GloVe+BERT,3,0.7882436260623229
FNFC,CS-LR,GloVe+BERT,3,0.8760623229461756
FNFC,CS-SVM (Linear),GloVe+SBERT,3,0.8994334277620396
FNFC,CS-RF,Word2Vec+SBERT,3,0.8661473087818697
FNFC,CS-DT,GloVe+SBERT,3,0.7889518413597734
FNFC,CS-LR,GloVe+SBERT,3,0.8930594900849859
FNFC,CS-SVM (Linear),GloVe+MPNet,3,0.9008498583569405
FNFC,CS-SVM (RBF),Word2Vec+SBERT,3,0.8909348441926346
FNFC,CS-RF,Word2Vec+MPNet,3,0.8661473087818697
FNFC,CS-LR,GloVe+MPNet,3,0.8944759206798867
FNFC,CS-RF,GloVe+BERT,3,0.8661473087818697
FNFC,CS-DT,GloVe+MPNet,3,0.7932011331444759
FNFC,CS-RF,GloVe+SBERT,3,0.8661473087818697
FNFC,CS-LR,BERT+SBERT,3,0.8640226628895185
FNFC,CS-SVM (RBF),GloVe+BERT,3,0.8987252124645893
FNFC,CS-SVM (Linear),BERT+SBERT,3,0.8739376770538244
