dataset,algo,embed,fold,acc
FNFC,CS-SVM (Linear),GloVe+SBERT+MPNet,1,0.9036827195467422
FNFC,CS-RF,GloVe+BERT+MPNet,1,0.8597733711048159
FNFC,CS-LR,BERT+SBERT+MPNet,1,0.8725212464589235
FNFC,CS-SVM (Linear),BERT+SBERT+MPNet,1,0.8760623229461756
FNFC,CS-DT,BERT+SBERT+MPNet,1,0.7839943342776204
FNFC,CS-RF,GloVe+SBERT+MPNet,1,0.8590651558073654
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+MPNet,1,0.9008498583569405
FNFC,CS-SVM (RBF),TF-IDF+BERT+SBERT,1,0.8958923512747875
FNFC,CS-SVM (RBF),GloVe+BERT+MPNet,1,0.9001416430594901
FNFC,CS-SVM (RBF),GloVe+SBERT+MPNet,1,0.8902266288951841
FNFC,CS-RF,BERT+SBERT+MPNet,1,0.8590651558073654
FNFC,CS-SVM (RBF),TF-IDF+GloVe+MPNet,1,0.9015580736543909
FNFC,CS-SVM (RBF),TF-IDF+BERT+MPNet,1,0.8958923512747875
FNFC,CS-SVM (RBF),BERT+SBERT+MPNet,1,0.8973087818696884
FNFC,CS-SVM (RBF),TF-IDF+SBERT+MPNet,1,0.9072237960339944
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+GloVe,2,0.9022662889518414
FNFC,CS-RF,TF-IDF+Word2Vec+BERT,2,0.8618980169971672
FNFC,CS-RF,TF-IDF+Word2Vec+SBERT,2,0.8604815864022662
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+BERT,2,0.8845609065155807
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+SBERT,2,0.9050991501416431
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+MPNet,2,0.9001416430594901
FNFC,CS-RF,TF-IDF+Word2Vec+GloVe,2,0.8611898016997167
FNFC,CS-DT,TF-IDF+Word2Vec+BERT,2,0.8279036827195467
FNFC,CS-DT,TF-IDF+Word2Vec+SBERT,2,0.8427762039660056
FNFC,CS-SVM (Linear),TF-IDF+GloVe+BERT,2,0.8909348441926346
FNFC,CS-DT,TF-IDF+Word2Vec+GloVe,2,0.8392351274787535
FNFC,CS-DT,TF-IDF+Word2Vec+MPNet,2,0.81657223796034
FNFC,CS-RF,TF-IDF+Word2Vec+MPNet,2,0.8611898016997167
FNFC,CS-DT,TF-IDF+GloVe+BERT,2,0.8250708215297451
FNFC,CS-RF,TF-IDF+GloVe+BERT,2,0.8618980169971672
FNFC,CS-SVM (Linear),TF-IDF+GloVe+SBERT,2,0.9036827195467422
FNFC,CS-DT,TF-IDF+GloVe+SBERT,2,0.8293201133144475
FNFC,CS-RF,TF-IDF+GloVe+SBERT,2,0.8604815864022662
FNFC,CS-SVM (Linear),TF-IDF+GloVe+MPNet,2,0.9086402266288952
FNFC,CS-LR,TF-IDF+Word2Vec+BERT,2,0.8788951841359773
FNFC,CS-LR,TF-IDF+Word2Vec+SBERT,2,0.9001416430594901
FNFC,CS-LR,TF-IDF+Word2Vec+GloVe,2,0.8923512747875354
FNFC,CS-LR,TF-IDF+Word2Vec+MPNet,2,0.9065155807365439
FNFC,CS-LR,TF-IDF+GloVe+BERT,2,0.8902266288951841
FNFC,CS-DT,TF-IDF+GloVe+MPNet,2,0.8031161473087819
FNFC,CS-DT,TF-IDF+BERT+SBERT,2,0.8222379603399433
FNFC,CS-LR,TF-IDF+GloVe+SBERT,2,0.9029745042492918
FNFC,CS-RF,TF-IDF+BERT+SBERT,2,0.8604815864022662
FNFC,CS-RF,TF-IDF+GloVe+MPNet,2,0.8604815864022662
FNFC,CS-SVM (Linear),TF-IDF+BERT+SBERT,2,0.8888101983002833
FNFC,CS-SVM (Linear),TF-IDF+BERT+MPNet,2,0.8909348441926346
FNFC,CS-SVM (Linear),TF-IDF+SBERT+MPNet,2,0.9058073654390935
FNFC,CS-LR,TF-IDF+BERT+SBERT,2,0.8817280453257791
FNFC,CS-LR,TF-IDF+GloVe+MPNet,2,0.9015580736543909
FNFC,CS-LR,TF-IDF+BERT+MPNet,2,0.8881019830028328
FNFC,CS-DT,TF-IDF+BERT+MPNet,2,0.8236543909348442
FNFC,CS-RF,TF-IDF+BERT+MPNet,2,0.8604815864022662
FNFC,CS-DT,TF-IDF+SBERT+MPNet,2,0.8328611898016998
FNFC,CS-LR,TF-IDF+SBERT+MPNet,2,0.9058073654390935
FNFC,CS-DT,Word2Vec+GloVe+BERT,2,0.7939093484419264
FNFC,CS-RF,TF-IDF+SBERT+MPNet,2,0.8618980169971672
FNFC,CS-SVM (Linear),Word2Vec+GloVe+BERT,2,0.8774787535410765
